State;Year;Mo;Day;Victim;County;Latitude;Longitude;Race;Sex;Mob;Offense;Note;2nd Name;3rd Name;;Comments;;;;;;;;;;;;;;;;;;;Source
SC;1903;7;16;Dennis Head;Aiken ;33,5443;-81,6347;Blk;Male;;Refused information;;;;;;;;;;;;;;;;;;;;;;;;
SC;1921;9;8;Mansfield Butler;Aiken ;33,5443;-81,6347;Blk;Male;;Muderous assault;;;;;;;;;;;;;;;;;;;;;;;;
SC;1921;9;8;Charles Thompson;Aiken ;33,5443;-81,6347;Blk;Male;;Muderous assault;;;;;;;;;;;;;;;;;;;;;;;;
SC;1926;10;8;Bertha Lowman;Aiken ;33,5443;-81,6347;Blk;Fe;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1926;10;8;Clarence Lowman;Aiken ;33,5443;-81,6347;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1926;10;8;Demmon Lowman;Aiken ;33,5443;-81,6347;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
FL;1891;2;17;Michael Kelly;Alachua ;29,6748;-82,3577;Wht;Male;;Complicity in murder;;;;;;;;;;;;;;;;;;;;;;;;
FL;1891;8;24;Andy Ford;Alachua ;29,6748;-82,3577;Wht;Male;;Desperado;;;;;;;;;;;;;;;;;;;;;;;;
FL;1891;2;17;Tony Compion;Alachua ;29,6748;-82,3577;Blk;Male;;Complicity in murder;;Tony Champion;;;;;;;;;;;;;;;;;;;;;;
FL;1892;1;12;Henry Hinson;Alachua ;29,6748;-82,3577;Blk;Male;;Murder;;Henry Henson;;;;;;;;;;;;;;;;;;;;;;
FL;1892;9;6;Unnamed Negro;Alachua ;29,6748;-82,3577;Blk;Male;;Arson;;;;;;;;;;;;;;;;;;;;;;;;
FL;1894;1;12;Charles Wiley;Alachua ;29,6748;-82,3577;Blk;Male;;Desperado;;Charles Willis;;;;;;;;;;;;;;;;;;;;;;
FL;1895;4;2;Wm. Rawls;Alachua ;29,6748;-82,3577;Blk;Male;;Murder;;Wm. Rawles;;;;;;;;;;;;;;;;;;;;;;
FL;1896;11;26;Alfred Daniels;Alachua ;29,6748;-82,3577;Blk;Male;;Arson;;Frank Williams;;;;;;;;;;;;;;;;;;;;;;
FL;1902;9;1;Manny Price;Alachua ;29,6748;-82,3577;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
FL;1902;9;1;Robert Scruggs;Alachua ;29,6748;-82,3577;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
FL;1904;1;14;Jumbo Clark;Alachua ;29,6748;-82,3577;Blk;Male;;Rape;;;;;;;;;;;;;;;;;;;;;;;;
FL;1908;2;6;Jack Long;Alachua ;29,6748;-82,3577;Wht;Male;;Murder;;John Long;;;;;;;;;;;;;;;;;;;;;;
FL;1915;7;21;H. M. Owens;Alachua ;29,6748;-82,3577;Wht;Male;;Murder;Uncertain;;;;;;;;;;;;;;;;;;;;;;;
FL;1916;8;19;Stella Young;Alachua ;29,6748;-82,3577;Blk;Fe;;Accessory to murder;;;;;;;;;;;;;;;;;;;;;;;;
FL;1916;8;19;Mary Dennis;Alachua ;29,6748;-82,3577;Blk;Fe;;Accessory to murder;;;;;;;;;;;;;;;;;;;;;;;;
FL;1916;8;18;Jim Dennis;Alachua ;29,6748;-82,3577;Blk;Male;;Accessory to murder;Uncertain;;;;;;;;;;;;;;;;;;;;;;;
FL;1916;8;19;Bert Dennis;Alachua ;29,6748;-82,3577;Blk;Male;;Accessory to murder;;;;;;;;;;;;;;;;;;;;;;;;
FL;1916;8;19;Andrew McHenry;Alachua ;29,6748;-82,3577;Blk;Male;;Accessory to murder;;;;;;;;;;;;;;;;;;;;;;;;
FL;1916;8;19;Josh Baskins;Alachua ;29,6748;-82,3577;Blk;Male;;Accessory to murder;;John Haskins;;;;;;;;;;;;;;;;;;;;;;
FL;1923;1;17;Abraham Wilson;Alachua ;29,6748;-82,3577;Blk;Male;;Theft;;;;;;;;;;;;;;;;;;;;;;;;
FL;1926;12;27;George Buddington;Alachua ;29,6748;-82,3577;Blk;Male;;Extorting debt;;George Buttington;;;;;;;;;;;;;;;;;;;;;;
NC;1920;8;25;John Jeffress;Alamance ;36,0437;-79,3994;Blk;Male;;Attempted assault (rape);;John Jeffree;;;;;;;;;;;;;;;;;;;;;;
MS;1898;8;11;Mullock Walker;Alcorn ;34,8808;-88,5803;Blk;Male;;Assault;;;;;;;;;;;;;;;;;;;;;;;;
MS;1900;8;13;Jack Betts;Alcorn ;34,8808;-88,5803;Blk;Male;;Criminal assault (rape);;;;;;;;;;;;;;;;;;;;;;;;
MS;1902;9;28;Thomas Clark;Alcorn ;34,8808;-88,5803;Blk;Male;;Rape & murder;;Will Gibson;;;;;;;;;;;;;;;;;;;;;;
MS;1920;8;28;Blutcher Higgins;Alcorn ;34,8808;-88,5803;Blk;Male;;Assault & prison escapee;;;;;;;;;;;;;;;;;;;;;;;;
MS;1920;8;28;Daniel Callicut;Alcorn ;34,8808;-88,5803;Blk;Male;;Assault & prison escapee;;;;;;;;;;;;;;;;;;;;;;;;
NC;1894;2;22;Daniel Slaughter;Alleghany ;36,4916;-81,127;Wht;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
KY;1894;7;16;Marion Howard;Allen;36,7512;-86,1904;Blk;Male;;Criminal assault (rape);;;;;;;;;;;;;;;;;;;;;;;;
SC;1921;10;24;Edward Kirkland;Allendale ;32,9881;-81,3582;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
MS;1889;2;6;Unnamed Negro;Amite ;31,1729;-90,8217;Blk;Male;;Rape;;;;;;;;;;;;;;;;;;;;;;;;
MS;1891;4;19;Charles Curtis;Amite ;31,1729;-90,8217;Blk;Male;;Attempted rape;;;;;;;;;;;;;;;;;;;;;;;;
MS;1893;2;9;Nelly Felder;Amite ;31,1729;-90,8217;Blk;Male;;Robbery & arson;;Wm. Felder;;;;;;;;;;;;;;;;;;;;;;
MS;1893;2;9;Frank Harrell;Amite ;31,1729;-90,8217;Blk;Male;;Robbery & arson;;;;;;;;;;;;;;;;;;;;;;;;
MS;1894;7;2;— Hood;Amite ;31,1729;-90,8217;Blk;Male;;Murder;Uncertain;;;;;;;;;;;;;;;;;;;;;;;
MS;1900;4;30;Unnamed Negro;Amite ;31,1729;-90,8217;Blk;Male;;Altercation;;Henry Ratcliff;;;;;;;;;;;;;;;;;;;;;;
MS;1902;8;9;John McDaniel;Amite ;31,1729;-90,8217;Blk;Male;;Lawlessness;;;;;;;;;;;;;;;;;;;;;;;;
MS;1904;5;23;Unnamed Negro;Amite ;31,1729;-90,8217;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
KY;1891;7;20;Sam Pulliam;Anderson;38,0039;-84,991;Blk;Male;;Rape;;Sam Pullman;Sam Pulhani;;;;;;;;;;;;;;;;;;;;;
TN;1893;8;10;Richard Drummond;Anderson;36,1185;-84,1985;Wht;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1894;12;10;Edward Sullivan;Anderson ;34,5193;-82,6378;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1898;5;.;Elbert Harris;Anderson ;34,5193;-82,6378;Blk;Male;;Arson;;;;;;;;;;;;;;;;;;;;;;;;
SC;1901;11;24;John Laddison;Anderson ;34,5193;-82,6378;Blk;Male;;Attempted murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1903;6;30;Reuben Elrod;Anderson ;34,5193;-82,6378;Blk;Male;;Unknown;;Rubb Elrod;;;;;;;;;;;;;;;;;;;;;;
SC;1911;10;10;Willis Jackson;Anderson ;34,5193;-82,6378;Blk;Male;;Criminal assault (rape);;;;;;;;;;;;;;;;;;;;;;;;
NC;1885;7;2;John Boggan;Anson ;34,9738;-80,1027;Blk;Male;;Criminal assault (rape);;John Boggar   ;;;;;;;;;;;;;;;;;;;;;;
NC;1901;8;21;Luke Huff;Anson ;34,9738;-80,1027;Blk;Male;;Murderous assault;;Luke Hough;;;;;;;;;;;;;;;;;;;;;;
NC;1906;5;28;J. V. Johnson;Anson ;34,9738;-80,1027;Wht;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
GA;1893;5;21;Ephraim Merchel;Appling ;31,7493;-82,289;Blk;Male;;Murder;;Ephrin Muchler;;;;;;;;;;;;;;;;;;;;;;
GA;1893;5;21;Unnamed Negro;Appling ;31,7493;-82,289;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
GA;1893;11;29;Newton Jones;Appling ;31,7493;-82,289;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
GA;1899;6;15;David Clark;Appling ;31,7493;-82,289;Blk;Male;;Attempted murder;;Davis Clark;;;;;;;;;;;;;;;;;;;;;;
GA;1899;6;16;— Williams;Appling ;31,7493;-82,289;Blk;Male;;Attempted rape;Uncertain;;;;;;;;;;;;;;;;;;;;;;;
LA;1901;7;19;Unnamed Negro;Arcadia ;34,1362;-118,0400;Blk;Male;;Shooting at officer;;;;;;;;;;;;;;;;;;;;;;;;
AR;1891;12;21;J.A. Smith;Arkansas;34,2892;-91,3742;Wht;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
AR;1891;12;21;Floyd Gregory;Arkansas;34,2892;-91,3742;Wht;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
AR;1891;12;21;Mose Henderson;Arkansas;34,2892;-91,3742;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
AR;1904;3;24;James Smith;Arkansas;34,2892;-91,3742;Blk;Male;;Race troubles;;;;;;;;;;;;;;;;;;;;;;;;
AR;1904;3;24;Charles Smith;Arkansas;34,2892;-91,3742;Blk;Male;;Race troubles;;;;;;;;;;;;;;;;;;;;;;;;
AR;1904;3;24;Mack Baldwin;Arkansas;34,2892;-91,3742;Blk;Male;;Race troubles;;;;;;;;;;;;;;;;;;;;;;;;
AR;1904;3;24;Abe Bailey;Arkansas;34,2892;-91,3742;Blk;Male;;Race troubles;;;;;;;;;;;;;;;;;;;;;;;;
AR;1904;3;24;Garrett Flood;Arkansas;34,2892;-91,3742;Blk;Male;;Race troubles;;;;;;;;;;;;;;;;;;;;;;;;
AR;1904;3;25;Perry Carter;Arkansas;34,2892;-91,3742;Blk;Male;;Race troubles;;;;;;;;;;;;;;;;;;;;;;;;
AR;1904;3;26;Henry Griffin;Arkansas;34,2892;-91,3742;Blk;Male;;Murderous assault;Uncertain;;;;;;;;;;;;;;;;;;;;;;;
AR;1904;3;26;Walker Griffin;Arkansas;34,2892;-91,3742;Blk;Male;;Murderous assault;Uncertain;Walter Griffin;;;;;;;;;;;;;;;;;;;;;;
AR;1916;8;9;Unnamed Negro;Arkansas;34,2892;-91,3742;Blk;Male;;Attempted criminal assault;;;;;;;;;;;;;;;;;;;;;;;;
AR;1916;10;8;Frank Dodd;Arkansas;34,2892;-91,3742;Blk;Male;;Insulted women;;;;;;;;;;;;;;;;;;;;;;;;
LA;1888;11;13;Unnamed Negro;Ascension ;30,2036;-90,9113;Blk;Male;;Attempted rape;;;;;;;;;;;;;;;;;;;;;;;;
AR;1891;6;19;Henry Jones;Ashley;33,1912;-91,7685;Blk;Male;Blk;Murder;;;;;;;;;;;;;;;;;;;;;;;;
AR;1892;7;30;Eugene Baker;Ashley;33,1912;-91,7685;Blk;Male;Blk;Shot man;;;;;;;;;;;;;;;;;;;;;;;;
AR;1895;6;17;Frank King;Ashley;33,1912;-91,7685;Blk;Male;Blk;Shot man & adultry;;;;;;;;;;;;;;;;;;;;;;;;
AR;1899;7;23;Chick Davis;Ashley;33,1912;-91,7685;Blk;Male;;Murder;Uncertain;Chich Davis;;;;;;;;;;;;;;;;;;;;;;
AR;1904;2;19;Glenco Bays;Ashley;33,1912;-91,7685;Blk;Male;;Murder;;Clence Days;Glenco Days;;;;;;;;;;;;;;;;;;;;;
AR;1904;9;4;Unnamed Negro;Ashley;33,1912;-91,7685;Blk;Male;;Assault;;;;;;;;;;;;;;;;;;;;;;;;
AR;1908;6;19;Ernest Williams;Ashley;33,1912;-91,7685;Blk;Male;Blk;Obscene language;;Earnest Williams;;;;;;;;;;;;;;;;;;;;;;
AR;1909;5;30;Joseph Blakely;Ashley;33,1912;-91,7685;Blk;Male;;Brother of murder;;;;;;;;;;;;;;;;;;;;;;;;
AR;1927;8;25;Winston Pounds;Ashley;33,1912;-91,7685;Blk;Male;;Attempted rape;;;;;;;;;;;;;;;;;;;;;;;;
LA;1893;5;6;Israel Holloway;Assumption;29,9024;-91,0608;Blk;Male;;Rape;;;;;;;;;;;;;;;;;;;;;;;;
LA;1890;5;13;Phillip Williams;Assumption ;29,9024;-91,0608;Blk;Male;;Attempted rape;;;;;;;;;;;;;;;;;;;;;;;;
MS;1887;6;23;James M. Webb;Attala ;33,0863;-89,5815;Wht;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
MS;1889;5;19;James Mitchell;Attala ;33,0863;-89,5815;Blk;Male;;Criminal assault (rape);;;;;;;;;;;;;;;;;;;;;;;;
MS;1891;11;22;Daniel Gladney;Attala ;33,0863;-89,5815;Blk;Male;;Race prejudice;;;;;;;;;;;;;;;;;;;;;;;;
MS;1902;7;17;Monroe Hallum;Attala ;33,0863;-89,5815;Blk;Male;;Incendiarism;;;;;;;;;;;;;;;;;;;;;;;;
MS;1902;7;17;Jim Gaston;Attala ;33,0863;-89,5815;Blk;Male;;Incendiarism;;;;;;;;;;;;;;;;;;;;;;;;
MS;1913;3;25;Dud Car;Attala ;33,0863;-89,5815;Blk;Male;;Enter woman's room;;;;;;;;;;;;;;;;;;;;;;;;
AL;1904;4;30;Gaines Hall;Autauga ;33,0863;-89,5815;Blk;Male;;Assaulted woman (rape);;;;;;;;;;;;;;;;;;;;;;;;
LA;1896;7;31;Louis P. Mullens;Avoyelles;31,0763;-92,0014;Wht;Male;;Attempted rape;;;;;;;;;;;;;;;;;;;;;;;;
LA;1892;9;2;Edward Laurent;Avoyelles ;31,0763;-92,0014;Blk;Male;;Aiding murderer;;;;;;;;;;;;;;;;;;;;;;;;
LA;1892;9;5;Gabriel Magliore;Avoyelles ;31,0763;-92,0014;Blk;Male;;Threats to kill;;;;;;;;;;;;;;;;;;;;;;;;
LA;1907;4;16;Charles Straus;Avoyelles ;31,0763;-92,0014;Blk;Male;;Attm. criminal assault (rape);;;;;;;;;;;;;;;;;;;;;;;;
LA;1915;7;15;Thomas Collins;Avoyelles ;31,0763;-92,0014;Blk;Male;;Murderous assault;;;;;;;;;;;;;;;;;;;;;;;;
FL;1896;5;3;Charles Jones;Baker ;30,3311;-82,2846;Blk;Male;;Unknown;Uncertain;;;;;;;;;;;;;;;;;;;;;;;
FL;1901;5;8;Henry Johnson;Baker ;30,3311;-82,2846;Blk;Male;;Murderous assault;;"""Gator"" Johnson";;;;;;;;;;;;;;;;;;;;;;
FL;1920;10;5;Rayfield Givens;Baker ;30,3311;-82,2846;Blk;Male;;Murder;;Ray Field;;;;;;;;;;;;;;;;;;;;;;
FL;1920;10;5;Benjamin Givens;Baker ;30,3311;-82,2846;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
FL;1920;10;5;Fulton Smith;Baker ;30,3311;-82,2846;Blk;Male;;Murder;;Milton Smith;;;;;;;;;;;;;;;;;;;;;;
FL;1920;10;5;Samuel Duncan;Baker ;30,3311;-82,2846;Blk;Male;;Murder;Uncertain;;;;;;;;;;;;;;;;;;;;;;;
GA;1903;6;26;Garfield McCoy;Baker ;31,3261;-84,4447;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
GA;1903;6;26;George Mckinney;Baker ;31,3261;-84,4447;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
GA;1903;6;26;Wiley Anette;Baker ;31,3261;-84,4447;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
GA;1910;5;19;Charles Wilson;Baker ;31,3261;-84,4447;Blk;Male;;Attempted rape;;;;;;;;;;;;;;;;;;;;;;;;
GA;1921;3;4;Wm. Anderson;Baker ;31,3261;-84,4447;Blk;Male;;Mistaken identity;;;;;;;;;;;;;;;;;;;;;;;;
AL;1908;4;5;Walter Clayton;Baldwin ;30,7276;-87,7226;Blk;Male;;Rape;;;;;;;;;;;;;;;;;;;;;;;;
AL;1919;6;15;Frank Foukal;Baldwin ;30,7276;-87,7226;Wht;Male;;Murder;;Frank Fokall;Frank Roukal;;;;;;;;;;;;;;;;;;;;;
KY;1901;9;12;Frank Howard;Ballard;37,0585;-88,9994;Blk;Male;Blk;Murder;;;;;;;;;;;;;;;;;;;;;;;;
KY;1901;9;12;Samuel Feed;Ballard;37,0585;-88,9994;Blk;Male;Blk;Murder;;Samuel Reed;;;;;;;;;;;;;;;;;;;;;;
KY;1901;9;12;Ernest Harris;Ballard;37,0585;-88,9994;Blk;Male;Blk;Murder;;Ernest Harrison;;;;;;;;;;;;;;;;;;;;;;
KY;1903;10;16;Thomas Hall;Ballard;37,0585;-88,9994;Blk;Male;;Shooting boy;;;;;;;;;;;;;;;;;;;;;;;;
KY;1915;1;12;Peter Hart;Ballard;37,0585;-88,9994;Blk;Male;;Race prejudice ;;Pedro Molinndro;Pedro Molfundro;;;;;;;;;;;;;;;;;;;;;
SC;1912;3;13;Alfred Dublin;Bamberg ;33,2148;-81,0542;Blk;Male;;Attempted arson;;;;;;;;;;;;;;;;;;;;;;;;
SC;1912;3;13;Richard Dublin;Bamberg ;33,2148;-81,0542;Blk;Male;;Attempted arson;;;;;;;;;;;;;;;;;;;;;;;;
SC;1912;3;13;Peter Rivers;Bamberg ;33,2148;-81,0542;Blk;Male;;Attempted arson;;;;;;;;;;;;;;;;;;;;;;;;
AL;1885;10;21;George Ward;Barbour ;31,8696;-85,3932;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
AL;1911;2;12;Iver Peterson;Barbour ;31,8696;-85,3932;Blk;Male;;Attempted assault (rape);;;;;;;;;;;;;;;;;;;;;;;;
AL;1922;1;10;Wm. Jenkins;Barbour ;31,8696;-85,3932;Blk;Male;;Insulted woman;;Willie Jenkins;;;;;;;;;;;;;;;;;;;;;;
SC;1882;9;13;Nathan Bonnet;Barnwell ;33,2661;-81,435;Blk;Male;;Attempted rape;;;;;;;;;;;;;;;;;;;;;;;;
SC;1889;12;28;Ralph Morral;Barnwell ;33,2661;-81,435;Blk;Male;;Accessory to murder;;Rafe Morral;;;;;;;;;;;;;;;;;;;;;;
SC;1889;12;28;Hugh Furz;Barnwell ;33,2661;-81,435;Blk;Male;;Accessory to murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1889;12;28;Robert Phoenix;Barnwell ;33,2661;-81,435;Blk;Male;;Accessory to murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1889;12;28;Ripley Johnson;Barnwell ;33,2661;-81,435;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1889;12;28;Mitchell Adams;Barnwell ;33,2661;-81,435;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1889;12;28;Peter Bell;Barnwell ;33,2661;-81,435;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1889;12;28;Harrison Johnson;Barnwell ;33,2661;-81,435;Blk;Male;;Witness to murder;;Hudson Johnson;;;;;;;;;;;;;;;;;;;;;;
SC;1889;12;28;Judge Jones;Barnwell ;33,2661;-81,435;Blk;Male;;Witness to murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1890;1;7;Wm. Black;Barnwell ;33,2661;-81,435;Blk;Male;;Burglary;;;;;;;;;;;;;;;;;;;;;;;;
SC;1893;4;24;John Peterson;Barnwell ;33,2661;-81,435;Blk;Male;;Rape;;;;;;;;;;;;;;;;;;;;;;;;
SC;1901;1;14;Charlie L. Robinson;Barnwell ;33,2661;-81,435;Blk;Male;;Assaulted woman (rape);;Charles Lang;;;;;;;;;;;;;;;;;;;;;;
SC;1905;12;22;Frank de Loache;Barnwell ;33,2661;-81,435;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1905;12;22;John de Loache;Barnwell ;33,2661;-81,435;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1918;2;23;Walter Best;Barnwell ;33,2661;-81,435;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
KY;1898;6;16;Caleb Gaines;Barren;36,9656;-85,9337;Blk;Male;;Attempted rape;;Gams Calls;;;;;;;;;;;;;;;;;;;;;;
GA;1922;9;2;Jim Reed Long;Barrow ;33,9848;-83,6996;Blk;Male;;Burglary;;James Reid;;;;;;;;;;;;;;;;;;;;;;
GA;1904;7;1;John Jones;Bartow ;33,9932;-83,7127;Blk;Male;;Assault (rape);;;;;;;;;;;;;;;;;;;;;;;;
GA;1916;2;25;Jesse McCorkle;Bartow ;33,9932;-83,7127;Blk;Male;;Assault (rape);;Jesse McCortele;;;;;;;;;;;;;;;;;;;;;;
GA;1930;10;1;John Wm. Clark;Bartow ;33,9932;-83,7127;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
AR;1894;2;27;Anderson Carter;Baxter;36,2872;-92,3369;Unk;Male;;Murder & robbery;;;;;;;;;;;;;;;;;;;;;;;;
AR;1894;2;27;Bud Montgomery;Baxter;36,2872;-92,3369;Unk;Male;;Murder & robbery;;Jasper Newton;;;;;;;;;;;;;;;;;;;;;;
AR;1919;11;20;T.T. Lee;Baxter;36,2872;-92,3369;Unk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
NC;1888;3;13;Wm. A. Parker          ;Beaufort ;35,494;-76,8598;Wht;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
NC;1888;5;6;Thomas Frazier;Beaufort ;35,494;-76,8598;Wht;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
NC;1894;12;26;James F. Bergeron;Beaufort ;35,494;-76,8598;Wht;Male;;Murder;;John F. Begeron;;;;;;;;;;;;;;;;;;;;;;
NC;1902;3;25;James Walker;Beaufort ;35,494;-76,8598;Blk;Male;;Murder;;James Walter;;;;;;;;;;;;;;;;;;;;;;
SC;1901;7;21;Wm. Cornish;Beaufort ;32,3855;-80,7302;Blk;Male;;Assaulted woman;Uncertain;;;;;;;;;;;;;;;;;;;;;;;
TN;1892;6;27;W. M. Bates;Bedford;35,5138;-86,4589;Wht;Male;;Murder;;Thomas Bates;;;;;;;;;;;;;;;;;;;;;;
TN;1899;8;11;Wm. Chambers;Bedford;35,5138;-86,4589;Blk;Male;;Rape;;;;;;;;;;;;;;;;;;;;;;;;
TN;1912;2;19;Watt Greer;Bedford;35,5138;-86,4589;Blk;Male;;Murder;;Walter Gre[e]r;;;;;;;;;;;;;;;;;;;;;;
KY;1889;6;22;Tony Cravasso;Bell;36,7306;-83,6741;Wht;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
KY;1889;6;22;— Cravasso (brother);Bell;36,7306;-83,6741;Wht;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
KY;1891;7;17;Frank Rossimus;Bell;36,7306;-83,6741;Wht;Male;;Attempted murder;;;;;;;;;;;;;;;;;;;;;;;;
KY;1897;4;12;Wilber Boyden;Bell;36,7306;-83,6741;Unk;Male;;Murder ;Uncertain;Wm. Brayden;;;;;;;;;;;;;;;;;;;;;;
KY;1898;12;14;Pleas Goin;Bell;36,7306;-83,6741;Wht;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
TN;1922;10;20;Ed Hartley;Benton;36,0698;-88,0683;Wht;Male;;Manslaughter;;;;;;;;;;;;;;;;;;;;;;;;
TN;1922;10;20;George Hartley;Benton;36,0698;-88,0683;Wht;Male;;Manslaughter;;;;;;;;;;;;;;;;;;;;;;;;
MS;1923;6;10;Unnamed Negro;Benton ;34,8173;-89,1885;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1892;5;9;Edward Chisolm;Berkeley;33,1973;-79,9522;Blk;Male;Blk;Injuring livestock;Uncertain;;;;;;;;;;;;;;;;;;;;;;;
SC;1904;7;11;Kitt Bookard;Berkeley ;33,1973;-79,9522;Blk;Male;;Quarrelling;;;;;;;;;;;;;;;;;;;;;;;;
GA;1893;12;17;Wm. Furgerson;Berrien ;31,276;-83,2296;Blk;Male;;Informer;;Wm. Ferguson;;;;;;;;;;;;;;;;;;;;;;
NC;1883;4;11;Unnamed Negro;Bertie ;36,0662;-76,9787;Blk;Male;;Attempted rape;;;;;;;;;;;;;;;;;;;;;;;;
NC;1918;3;23;Peter Bazemore;Bertie ;36,0662;-76,9787;Blk;Male;;Criminal assault (rape);;;;;;;;;;;;;;;;;;;;;;;;
AL;1886;11;23;John Davis;Bibb ;32,9986;-87,1265;Blk;Male;;Assaulted woman (rape);;;;;;;;;;;;;;;;;;;;;;;;
AL;1887;6;2;Unnamed Negro;Bibb ;32,9986;-87,1265;Blk;Male;;Attm. Criminal Assault;;;;;;;;;;;;;;;;;;;;;;;;
AL;1893;7;17;Unnamed Negro;Bibb ;32,9986;-87,1265;Blk;Male;;Murder;Uncertain;;;;;;;;;;;;;;;;;;;;;;;
AL;1893;9;5;Unnamed Negro;Bibb ;32,9986;-87,1265;Blk;Male;;Rape;;;;;;;;;;;;;;;;;;;;;;;;
AL;1896;12;22;Joseph James;Bibb ;32,9986;-87,1265;Blk;Male;;Assaulted girl (rape);;;;;;;;;;;;;;;;;;;;;;;;
